Run,Bases,batch,Experiment,Fraction,sex,treatment,sample_id
SRR35568686,7056141000,L,SRX30641926,IP,female,Dependent,Dependent_1
SRR35568638,6422935500,L,SRX30641950,IP,female,Dependent,Dependent_2
SRR35568687,7195563300,L,SRX30641926,IP,female,Dependent,Dependent_3
SRR35568639,6567543300,L,SRX30641950,IP,female,Dependent,Dependent_4
SRR35568650,8408655900,L,SRX30641944,IP,male,Dependent,Dependent_5
SRR35568651,8532258900,L,SRX30641944,IP,male,Dependent,Dependent_6
SRR35568623,6641559600,L,SRX30641958,IP,female,Naive,Naive_1
SRR35568626,7019469600,L,SRX30641956,IP,male,Naive,Naive_2
SRR35568627,7132121400,L,SRX30641956,IP,male,Naive,Naive_3
SRR35568631,7998479400,L,SRX30641954,IP,male,Naive,Naive_4
SRR35568622,6489525000,L,SRX30641958,IP,female,Naive,Naive_5
SRR35568634,7475442300,L,SRX30641952,IP,female,Naive,Naive_6
